LocusName	PopulationCode	PopulationName	AlleleNo	Frequency
D3S1358	CND Canada	12	0.0030
D3S1358	CND Canada	13	0.0060
D3S1358	CND Canada	14	0.1325
D3S1358	CND Canada	15	0.2892
D3S1358	CND Canada	15.2	0.0000
D3S1358	CND Canada	16	0.2259
D3S1358	CND Canada	17	0.1687
D3S1358	CND Canada	17.1	0.0000
D3S1358	CND Canada	18	0.1596
D3S1358	CND Canada	19	0.0151
VWA	CND Canada	11	0.0000
VWA	CND Canada	12	0.0030
VWA	CND Canada	13	0.0000
VWA	CND Canada	14	0.1295
VWA	CND Canada	15	0.1205
VWA	CND Canada	16	0.1837
VWA	CND Canada	17	0.2771
VWA	CND Canada	18	0.1898
VWA	CND Canada	19	0.0904
VWA	CND Canada	20	0.0060
VWA	CND Canada	21	0.0000
FGA	CND Canada	18	0.0090
FGA	CND Canada	18.2	0.0000
FGA	CND Canada	19	0.0633
FGA	CND Canada	19.2	0.0000
FGA	CND Canada	20	0.1235
FGA	CND Canada	20.2	0.0000
FGA	CND Canada	21	0.1807
FGA	CND Canada	21.2	0.0000
FGA	CND Canada	22	0.2289
FGA	CND Canada	22.2	0.0000
FGA	CND Canada	23	0.1295
FGA	CND Canada	23.2	0
FGA	CND Canada	24	0.1446
FGA	CND Canada	24.2	0
FGA	CND Canada	25	0.0964
FGA	CND Canada	25.2	0
FGA	CND Canada	26	0.0181
FGA	CND Canada	26.2	0
FGA	CND Canada	27	0.0060
FGA	CND Canada	27.2	0
FGA	CND Canada	28	0
FGA	CND Canada	29	0
FGA	CND Canada	30	0
D8S1179	CND Canada	9	0.0060
D8S1179	CND Canada	10	0.0934
D8S1179	CND Canada	11	0.0693
D8S1179	aCND Canada	12	0.1627
D8S1179	CND Canada	13	0.3373
D8S1179	CND Canada	14	0.1867
D8S1179	CND Canada	15	0.1867
D8S1179	CND Canada	16	0.0271
D8S1179	CND Canada	17	0.0030
D21S11	CND Canada	24.2	0.0030
D21S11	CND Canada	25	0
D21S11	CND Canada	25.2	0
D21S11	CND Canada	26	0.0030
D21S11	CND Canada	26	0
D21S11	CND Canada	27	0.0241
D21S11	CND Canada	28	0.1536
D21S11	CND Canada	28.2	0
D21S11	CND Canada	29	0.2169
D21S11	CND Canada	29.2	0.0030
D21S11	CND Canada	29.2	0.0030
D21S11	CND Canada	30	0.2048
D21S11	CND Canada	30.2	0.0783
D21S11	CND Canada	30.2	0.0000
D21S11	CND Canada	31	0.0934
D21S11	CND Canada	31.1	0
D21S11	CND Canada	31.2	0.0934
D21S11	CND Canada	32	0.0181
D21S11	CND Canada	32,1	0
D21S11	CND Canada	32.2	0.0813
D21S11	CND Canada	32.3	0
D21S11	CND Canada	33	0
D21S11	CND Canada	34	0
D21S11	CND Canada	34.1	0
D21S11	CND Canada	34.2	0.0030
D21S11	CND Canada	35	0
D21S11	CND Canada	3.2	0
D21S11	CND Canada	36	0
D18S51	CND Canada	11	0.0090
D18S51	CND Canada	12	0.0934
D18S51	CND Canada	13	0.1084
D18S51	CND Canada	14	0.1506
D18S51	CND Canada	14.2	0
D18S51	CND Canada	15	0.1777
D18S51	CND Canada	15.2	0
D18S51	CND Canada	16	0.1837
D18S51	CND Canada	16.2	0
D18S51	CND Canada	17	0.1114
D18S51	CND Canada	18	0.0663
D18S51	CND Canada	19	0.0361
D18S51	CND Canada	20	0.0361
D18S51	CND Canada	20.2	0
D18S51	CND Canada	21	0.0120
D18S51	CND Canada	21.2	0
D18S51	CND Canada	22	0.0030
D5S818	CND Canada	7	0
D5S818	CND Canada	8	0
D5S818	CND Canada	9	0.0331
D5S818	CND Canada	9.2	0
D5S818	CND Canada	10	0.0723
D5S818	CND Canada	11	0.3464
D5S818	CND Canada	12	0.3614
D5S818	CND Canada	13	0.1717
D5S818	CND Canada	14	0.0120
D5S818	CND Canada	15	0.0030
D13S317	CND Canada	8	0.0934
D13S317	CND Canada	8.1	0
D13S317	CND Canada	9	0.0934
D13S317	CND Canada	10	0.0452
D13S317	CND Canada	11	0.3012
D13S317	CND Canada	12	0.3012
D13S317	CND Canada	13	0.1235
D13S317	CND Canada	13.3	0
D13S317	CND Canada	14	0.0422
D13S317	CND Canada	15	0
D7S820	CND Canada	6	0
D7S820	CND Canada	6.3	0
D7S820	CND Canada	7	0.0181
D7S820	CND Canada	8	0.1627
D7S820	CND Canada	8.1	0
D7S820	CND Canada	8.2	0
D7S820	CND Canada	9	0.1325
D7S820	CND Canada	9.1	0
D7S820	CND Canada	9.3	0
D7S820	CND Canada	10	0.2620
D7S820	CND Canada	10.1	0
D7S820	CND Canada	10.3	0
D7S820	CND Canada	11	0.2500
D7S820	CND Canada	12	0.1265
D7S820	CND Canada	13	0.0452
D7S820	CND Canada	14	0.0030
